STT,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity
94,Holographic Glass,General,"Iridescent, frosted, depth, light-refraction, pastel-neon, futuristic","Iridiscent Pink #FFD1FF, Aqua #D1FFFF, Lavender #E6E6FA","Glass White #FFFFFF, Neon Blue #00D2FF, Chrome #E0E0E0","Refractive light follow (mouse), shimmering gradients, multi-layered glass, aurora motion","Crypto wallets, Web3 landing pages, luxury skincare, high-tech fashion","Information-dense wikis, data tables, accessibility-focused tools",✓ Full,✓ Full,⚠ Moderate,⚠ Low contrast,✓ Good,✓ High,"Tailwind 9/10, Three.js 10/10",2024+ Future,High
95,Risograph Style,General,"Grainy, ink-overlap, limited palette, textured, print-look, tactile","Riso Blue #0078BF, Riso Pink #FF48B0, Riso Yellow #FFE800","Paper White #F4F1EA, Overlap Violet #6D2D91, Riso Green #00A95C","Noise/grain overlay, color-bleed hover, static-like flicker, offset layers","Indie publishers, art portfolios, zine culture, small creative shops","Enterprise dashboards, pixel-perfect UI, photography, banking",✓ Full,◐ Partial,⚡ Good,⚠ Color overlap,✓ Good,◐ Medium,"Tailwind 8/10, SVG Filter 10/10",1980s Print,Medium
96,Analog Film Aesthetic,General,"Film grain, light leaks, sepia, warm, nostalgic, cinematic, soft","Film Black #1A1712, Kodak Yellow #FFB100, Warm White #FDF5E6","Light Leak Red #FF4B2B, Dust Grey #7A7A7A, Muted Teal","Jittery frame movement, light leak transitions, soft grain, frame-border UI","Photographers, cinema sites, travel journals, personal stories","High-speed SaaS, real-time data, technical docs, e-commerce",✓ Full,✓ Full,⚠ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 9/10, Framer Motion 9/10",1970s Cinema,Medium
97,Brutalist Web3,General,"Monospace, high-contrast, blockchain, raw, ASCII art, default-look","Terminal Green #00FF41, Black #000000, White #FFFFFF","Safety Orange #FF6600, ETH Blue #3C3C3D, Link Blue #0000FF","Matrix-style text scroll, raw data dumps, blinkers, terminal-style input","Crypto protocols, developer tools, hackerspaces, DAO governance","Consumer retail, wellness, travel, mainstream social",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Good,✗ Low,"Tailwind 10/10, Next.js 10/10",2020s Web3,Low
98,Soft Maximalism,General,"Colorful, layered, cozy, busy but gentle, patterns, eclectic, rich","Soft Rose #FFB7C5, Sky Blue #AED9E0, Butter #FAF3DD","Floral patterns, sage #B2AC88, Gold #D4AF37, Warm Grey","Floating elements, gentle parallax, infinite scroll patterns, soft reveal","Interior design, craft e-commerce, lifestyle blogs, boutique fashion","Corporate finance, high-tech hardware, medical software",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ Good,✓ High,"Tailwind 9/10, CSS Grid 9/10",2020s Modern,Medium
99,Industrial Techno,General,"Dark, concrete, minimalist, stark, high-energy, brutal, rhythmic","Concrete #7F7F7F, Signal Red #FF0000, Pitch Black #000000","Steel #B0C4DE, Caution Yellow #FFFF00, Neon Green","Strobe effects (hover), rhythmic pulsing, sharp geometric transitions, glitch","Record labels, techno clubs, industrial hardware, experimental portfolios","Children's apps, medical tech, conservative banking, wellness",✗ None,✓ Full,⚠ Good,⚠ Intense motion,✓ Good,✗ Low,"Tailwind 8/10, WebGL 9/10",1990s Berlin,High
100,Classic Newspaper,General,"Serif-dense, columns, ink black, paper-look, serious, news-heavy","Ink Black #121212, Newsprint #F4F1EA","Muted Red #9B111E, Blue Grey #607D8B, Charcoal","Vertical line separators, drop caps, no motion, fixed column layouts","News outlets, editorial blogs, historical archives, technical journals","Gaming, entertainment, kids apps, immersive marketing",✓ Full,✗ None,⚡ Excellent,✓ WCAG AAA,◐ Medium,✓ High,"Tailwind 10/10, CSS Grid 10/10",1920s Print,Low
101,Surrealist UI,General,"Dream-like, irrational, liquid, melting, impossible geometry, deep","Deep Navy #000080, Cloud White #F0F8FF, Blood Orange #FF4500","Melting Gold #FFD700, Sky Blue #87CEEB, Shadow Black","Liquid distortion, element morphing, non-linear navigation, floating eyes/objects","Art galleries, psychological tools, experimental film, high-end creative","Banking, utility apps, grocery shopping, legal services",✓ Full,✓ Full,⚠ Moderate,❌ Poor,✗ Low,✗ Low,"Tailwind 6/10, Three.js 10/10",1920s Surrealism,High
102,Folk / Craft Style,General,"Handmade, rustic, patterns, woodcut, natural, warm, storytelling","Earth Brown #4E342E, Terracotta #CC4E5C, Forest Green #2D5A27","Mustard #E3B448, Cream #FFFDD0, Indigo #3F51B5","Page-flip, woodcut textures, simple fade, decorative scroll, hand-drawn icons","Artisanal shops, community projects, environmental blogs, cultural museums","High-tech SaaS, big data, gaming, medical portals",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ Good,✓ High,"Tailwind 8/10, SVG 9/10",Traditional Folk,Medium
103,Scandinavian Hygge,General,"Cozy, minimal, light wood, soft, functional, clean, airy","Soft White #F9F9F9, Light Oak #D2B48C, Sage #9CAF88","Cool Grey #708090, Sky Blue #B0C4DE, Warm Grey","Soft transitions, breathing room, minimal shadows, high legibility focus","Home decor, lifestyle blogs, wellness apps, modern furniture, apps for seniors","Cyberpunk games, dark UI apps, aggressive marketing, heavy industry",✓ Full,✗ None,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, MUI 9/10",Modern Nordic,Low
104,Geometric Abstract,General,"Vector-heavy, bold shapes, flat, overlapping, modern, corporate-art","Shapes Blue #0D47A1, Shapes Orange #FF6F00, Shapes Purple #4A148C","White #FFFFFF, Grey #EEEEEE, Black #212121","Shape-shifting animations, intersection hover, floating geometric background","Tech startups, design agencies, SaaS branding, educational tools","Luxury retail, historical sites, gothic branding, photography",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, SVG 10/10",2020s Corporate,Low
105,Retro Post-Punk,General,"High contrast, photocopied, gritty, xerox, DIY, red/black/white","Punk Red #E60000, Pitch Black #000000, Stark White #FFFFFF","Spraypaint Grey #707070, Blue Print #0000FF, Yellow Highlight","Screen-door effect, noisy hover, offset text, high-speed flickers","Music zines, alternative culture, streetwear, underground events","Professional banking, medical, legal, high-end luxury",✓ Full,✓ Full,⚡ Excellent,⚠ Low contrast,◐ Medium,✗ Low,"Tailwind 9/10, Custom CSS 10/10",1980s Punk,Low
106,Tactical / Mil-Spec,General,"Industrial, military, rugged, HUD, data-heavy, functional, matte","Olive Drab #3C341F, Matte Black #1A1A1A, Desert Sand #C2B280","Night Vision Green #00FF41, Safety Orange #FF8C00, Gunmetal Grey","Grid-coordinate hover, scanning lines, digital readouts, sharp UI boxes","Outdoor gear, tactical tech, engineering tools, security dashboards","Beauty brands, luxury fashion, childcare, wellness",✗ None,✓ Full,⚠ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 9/10, CSS Grid 10/10",2010s Tactical,Medium
107,Dreamcore / Weirdcore,General,"Surreal, nostalgic, uncanny, low-res, liminal spaces, eyes, clouds","Sky Blue #87CEEB, Cloud White #FFFFFF, Grass Green #7CFC00","Uncanny Pink #FF69B4, Static Grey #808080, Void Black","Random element placement, blinking icons, infinite void scroll, warping text","Art projects, internet mystery sites, indie music, niche communities","Corporate landing pages, B2B, medical, standard retail",✓ Full,✓ Full,⚠ Moderate,❌ Poor,✗ Low,✗ Low,"Tailwind 7/10, Custom CSS 9/10",2020s Internet,Medium
108,Streetwear / Hypebeast,General,"Large bold type, high-contrast, product focus, minimal, aggressive","Bold Orange #FF4500, Pure Black #000000, Bright White #FFFFFF","Electric Blue #0000FF, Cement Grey #B2B2B2, Neon Green","Rapid product swaps, marquee banners, bold border hover, sticky text","Fashion retail, sneakers, limited drops, youth lifestyle","Corporate banking, enterprise SaaS, professional law, medical",✓ Full,✓ Full,⚡ Good,✓ Good,✓ High,✓ High,"Tailwind 10/10, Next.js 10/10",2010s Culture,Medium
109,Botanical / Greenhouse,General,"Plant-heavy, organic, scientific, green, classic, illustrative","Deep Forest #013220, Leaf Green #4F7942, Parchment #FCF5E5","Petal Pink #FFD1DC, Floral Blue #6495ED, Soil Brown","Leaf parallax, growing SVG vines, smooth organic fades, soft hover","Gardening, florist, herbal medicine, environmental science, eco-resorts","Industrial tech, heavy metal, banking, cyberpunk",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ Good,✓ High,"Tailwind 9/10, GSAP 10/10",19th Century Science,Medium
110,Monochromatic High-Contrast,General,"Strict B&W, extreme contrast, no grey, sharp, bold, typographic","Deep Black #000000, Pure White #FFFFFF","Inverted Black/White focus","Color inversion on hover, sharp instant transitions, no shadows, 0px border-radius","Architectural portfolios, photography, art blogs, minimalist branding","Accessibility apps (low contrast bad), wellness, children's content",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Vanilla CSS 10/10",2010s Modern,Low
111,Neo-Noir,General,"Cinematic, high shadows, dark, red/blue neon, urban, mood-driven","City Black #050505, Neon Red #FF0000, Deep Blue #00008B","Shadow Grey #1A1A1A, Rain Blue #2F4F4F, White #FFFFFF","Slow dark vignettes, rain/smoke overlays, deep shadows, slow moody fades","Detective games, storytelling, urban fashion, night-life blogs","Educational tools, B2B SaaS, corporate finance, children's apps",✗ None,✓ Full,⚠ Good,⚠ Low contrast,✓ Good,◐ Medium,"Tailwind 8/10, Framer Motion 9/10",Cinema Inspired,Medium
112,Kids Playful Learning,General,"Bouncy, primary, rounded, giant buttons, friendly, loud, icons","Primary Blue #007BFF, Sun Yellow #FFD700, Candy Red #FF1A1A","Lime Green #32CD32, Orange #FF8C00, White #FFFFFF","Bounce physics, sound on click (simulated), wobbly shapes, giant cursors","EdTech for kids, toy shops, primary schools, fun learning tools","High-end luxury, corporate legal, technical developer tools, news",✓ Full,✗ None,⚡ Good,✓ Good,✓ High,✓ High,"Tailwind 9/10, Framer Motion 10/10",2010s Educational,Medium
113,Scientific / Lab Journal,General,"Monospace, grids, technical, raw, data-centric, blue/grey, clean","Lab Blue #005A9C, Paper Grey #F5F5F5, Ink Black #000000","Graph Green #00FF00, Grid Grey #D3D3D3, Safety Yellow","Data plot animations, terminal typing, precise grid movement, technical schematics","Data science, research labs, technical wikis, engineering logs","Lifestyle blogs, fashion retail, gaming, artistic portfolios",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AAA,✓ Good,✓ High,"Tailwind 10/10, D3.js 10/10",Modern Science,Medium
114,Luxury Yacht / Aviation,General,"Navy, gold, white, spacious, premium, polished, nautical/aerospace","Navy Blue #000080, Pure White #FFFFFF, Gold #D4AF37","Teak Wood #7E481C, Sky Blue #87CEEB, Silver #C0C0C0","Soft wave motion, horizon parallax, slow elegant reveals, polished metal shine","Yacht charters, private jets, luxury travel, high-end marinas","Budget travel, budget retail, aggressive marketing, gaming",✓ Full,◐ Partial,⚡ Good,✓ Good,✓ Good,✓ High,"Tailwind 9/10, Framer Motion 9/10",High-End Travel,Medium
115,Comic Book / Pop-Up,General,"Halftone, panels, action lines, bold, yellow/red, paper, layered","Action Yellow #FFD300, Comic Red #ED1C24, Ink Black #000000","Paper White #F0F0F0, Speech Bubble Blue #D1E8FF, Ben-Day Dot Grey","Panel-to-panel scrolling, pop-up element reveals, halftone hover, zoom-in focus","Entertainment, marketing, storytelling, comic platforms, creative portfolios","Banking, government, serious journals, corporate enterprise",✓ Full,✗ None,⚠ Moderate,✓ Good,◐ Medium,✓ High,"Tailwind 8/10, Custom CSS 10/10",1950s Comic,Medium
116,Brutalist Photography,General,"Raw, high-res, no UI, stark, direct, minimal controls, image-centric","Photo Black #000000, Photo White #FFFFFF","Muted Grey #808080, Transparent Overlays","0ms transitions, raw image loading, high-speed gallery, no embellishments","Professional photographers, photojournalism, high-fashion shoots","Complex SaaS, data-heavy sites, text-heavy wikis, utility tools",✓ Full,✓ Full,⚡ Excellent,✓ Good,✓ High,◐ Medium,"Tailwind 10/10, Next.js 10/10",2020s Digital,Low
117,Claymorphism 2.0 (Glass Fusion),General,"Inflated, glass, soft, translucent, 3D, tactile, modern, fluffy","Soft Purple #D1C4E9, Glass Teal #B2DFDB, Fluffy Pink #F8BBD0","Inner Glow White #FFFFFF, Shadow Grey #BDBDBD, Translucent #FFFFFF40","Dynamic inner shadows, floating bounce, refractive glass overlays, squishy UI","Modern apps, consumer social, meditation, crypto-friendly UI","Traditional banking, news, industrial, medical software",✓ Full,✓ Full,⚠ Good,⚠ Low contrast,✓ High,✓ High,"Tailwind 9/10, Three.js 8/10",2024 Modern,Medium
118,Ethereal / Spiritual,General,"Glow, light, spiritual, soft, aura, vertical, calm, high whitespace","Aura Gold #FFF7E6, Light Lavender #F3E5F5, Spirit Blue #E1F5FE","White #FFFFFF, Soft Pink #FCE4EC, Moonlight Silver","Slow particle glow, vertical smooth scroll, halo hover effects, fading gradients","Spiritual apps, yoga, meditation, luxury retreats, wellness blogs","Fast food, aggressive retail, high-energy gaming, financial news",✓ Full,✗ None,⚡ Good,✓ Good,✓ Good,◐ Medium,"Tailwind 9/10, Canvas 9/10",New Age Inspired,Low
