pattern_name,category,problem_tags,description,key_widgets,code_snippet,anti_pattern
Lazy Loading Images (List),Performance,"lazy load, viewport, image, render, tối ưu","Chỉ bắt đầu tải và hiển thị ảnh khi chúng sắp xuất hiện trong vùng nhìn thấy (viewport) của người dùng để tiết kiệm tài nguyên.","ListView.builder, VisibilityDetector","ListView.builder(itemBuilder: (context, index) => Image.network(url, cacheWidth: 200));","Tải tất cả các ảnh trong danh sách cùng một lúc ngay khi màn hình vừa mở."
Adaptive Layouts (WindowClass),UI/UX,"adaptive, desktop, tablet, breakpoints, layout","Sử dụng các điểm dừng (breakpoints) tiêu chuẩn để thay đổi hoàn toàn cấu trúc giao diện phù hợp với điện thoại, máy tính bảng hoặc web.","flutter_adaptive_scaffold, MediaQuery","if (MediaQuery.of(context).size.width > 900) { return WideLayout(); } else { return NarrowLayout(); }","Sử dụng các giá trị kích thước pixel cứng (fixed pixels) thay vì tỷ lệ phần trăm hoặc MediaQuery."
Lottie Animations,UI/UX,"lottie, json, animation, vector, hiệu ứng","Sử dụng các tệp JSON từ Adobe After Effects để hiển thị các chuyển động vector phức tạp nhưng dung lượng nhẹ và chất lượng cao.","lottie package","Lottie.asset('assets/animation.json');","Sử dụng các tệp Lottie quá lớn (nhiều layer phức tạp) làm CPU tăng cao khi đang chạy hiệu ứng."
Stream-based Search,Logic,"stream, rxdart, search, reactive, luồng dữ liệu","Sử dụng Stream và RxDart để xử lý luồng dữ liệu tìm kiếm một cách phản hồi, cho phép dễ dàng kết hợp các toán tử như debounce, distinct.","StreamController, BehaviorSubject, Rx.combineLatest","searchSubject.debounceTime(Duration(milliseconds: 300)).switchMap((query) => api.search(query));","Tạo mới một Stream hoặc gán lại listener mỗi khi widget rebuild, gây rò rỉ bộ nhớ."
Theming with Design Tokens,UI/UX,"theme, design tokens, color palette, style, đồng bộ","Định nghĩa các biến màu sắc và kiểu chữ tập trung (tokens) để đảm bảo tính nhất quán của giao diện trên toàn bộ ứng dụng và dễ dàng thay đổi thương hiệu.","ThemeData, TextTheme, ColorScheme","ThemeData(colorScheme: ColorScheme.fromSeed(seedColor: Colors.deepPurple));","Sử dụng các giá trị màu sắc ngẫu nhiên khắp nơi trong code mà không thông qua hệ thống Theme."
Pre-caching Assets,Performance,"pre-cache, asset, image, font, loading speed","Tải trước các tài nguyên như hình ảnh hoặc font chữ ngay khi app khởi động để đảm bảo chúng hiển thị ngay lập tức khi người dùng chuyển đến màn hình tương ứng.","precacheImage, rootBundle","await precacheImage(AssetImage('assets/bg.png'), context);","Tải trước quá nhiều tài nguyên không cần thiết gây chậm quá trình khởi động (startup time) của ứng dụng."
Safe Area Handling,UI/UX,"safe area, notch, island, màn hình, UI","Đảm bảo nội dung ứng dụng không bị che khuất bởi các phần cứng như "tai thỏ", "nốt ruồi" hoặc thanh điều hướng hệ thống.","SafeArea, MediaQuery.padding","SafeArea(child: MyContent());","Thiết kế giao diện tràn viền mà không tính đến khoảng cách đệm (padding) của các thiết bị có phần khuyết màn hình."
Deep Linking (App Links),Architecture,"deep link, app link, routing, điều hướng, liên kết","Cho phép ứng dụng mở một trang cụ thể từ một đường dẫn URL bên ngoài (như từ trình duyệt hoặc tin nhắn).","go_router, uni_links","GoRouter(routes: [GoRoute(path: '/product/:id', builder: (context, state) => ProductPage(id: state.params['id']!))]);","Xử lý deep link một cách thủ công bằng cách parse string phức tạp thay vì sử dụng các thư viện routing chính thức."
Method Chaining with Dio,Logic,"dio, interceptor, api, clean code, request","Sử dụng Interceptor của Dio để tự động thêm Token vào Header, log request hoặc xử lý lỗi tập trung cho mọi yêu cầu API.","Dio, InterceptorsWrapper","dio.interceptors.add(InterceptorsWrapper(onRequest: (options, handler) { options.headers['Authorization'] = 'Bearer $token'; return handler.next(options); }));","Gán thủ công Header cho từng hàm gọi API một cách lặp đi lặp lại."
Custom Icons with FontGen,UI/UX,"icons, font, svg, fluttergen, tối ưu","Chuyển đổi các tệp SVG thành font icon để sử dụng như Icon thông thường, giúp giảm kích thước và dễ dàng thay đổi màu sắc, kích thước.","FlutterGen, Custom Icons","Icon(MyIcons.custom_home, color: Colors.red);","Sử dụng trực tiếp các tệp SVG nặng cho các icon đơn giản xuất hiện nhiều lần trong danh sách."
Separation of Concerns (SoC),Architecture,"clean code, architecture, logic vs ui, tách biệt, bảo trì","Tách biệt rõ ràng giữa phần hiển thị (UI), logic xử lý (Business Logic) và truy xuất dữ liệu (Data Source) để code dễ đọc và dễ test hơn.","BLoC, Provider, Clean Architecture","// UI chỉ gọi events, không xử lý logic context.read().add(Increment());","Viết logic xử lý dữ liệu (như tính toán, gọi API) trực tiếp bên trong hàm build của Widget."
Isolate-based JSON Parsing,Performance,"json, isolate, compute, parsing, hiệu năng","Sử dụng hàm compute để giải mã các chuỗi JSON cực lớn ở background isolate, tránh làm đứng giao diện người dùng.","compute function, jsonDecode","final data = await compute(jsonDecode, jsonString);","Giải mã JSON dung lượng vài MB trên Main Isolate làm ứng dụng bị đứng hình trong chốc lát."
Using Mixins for Shared Logic,Logic,"mixin, reusable code, đa kế thừa, logic chung","Sử dụng mixin để chia sẻ các đoạn code xử lý logic (như kiểm tra kết nối mạng, hiển thị loading) giữa nhiều class khác nhau mà không cần kế thừa.","mixin keyword, with keyword","mixin NetworkAware { bool hasConnection() => ... } class MyState extends State with NetworkAware { ... }","Lạm dụng quá nhiều mixin vào một class duy nhất khiến code trở nên khó theo dõi và gây xung đột tên hàm."
Optimizing List Views (ItemExtent),Performance,"listview, performance, itemextent, scroll, mượt mà","Sử dụng itemExtent hoặc prototypeItem cho ListView khi các phần tử có chiều cao cố định để Flutter tính toán vị trí cuộn nhanh hơn.","ListView, itemExtent","ListView.builder(itemExtent: 100.0, itemBuilder: (context, index) => MyItem());","Để ListView tự tính toán kích thước từng phần tử một cách động khi không thực sự cần thiết."
Using RepaintBoundary,Performance,"repaint, boundary, canvas, render, tối ưu","Bao bọc các phần của cây widget có hiệu ứng hoạt họa phức tạp bằng RepaintBoundary để giới hạn vùng cần vẽ lại, tránh vẽ lại toàn bộ màn hình.","RepaintBoundary","RepaintBoundary(child: ComplexAnimationWidget());","Sử dụng RepaintBoundary cho mọi widget đơn giản, điều này có thể làm tăng mức sử dụng bộ nhớ vô ích."
Automatic Keep Alive,UI/UX,"keep alive, tabbar, listview, trạng thái, giữ state","Giữ cho trạng thái của một trang (như vị trí cuộn, dữ liệu đã nhập) không bị mất đi khi người dùng chuyển sang tab khác trong TabBarView.","AutomaticKeepAliveClientMixin, wantKeepAlive","class MyPageState extends State with AutomaticKeepAliveClientMixin { @override bool get wantKeepAlive => true; ... }","Bỏ qua việc giữ trạng thái khiến người dùng khó chịu vì trang bị load lại mỗi khi chuyển tab."
Handling App Lifecycle,Logic,"lifecycle, background, resume, trạng thái ứng dụng","Theo dõi khi ứng dụng chuyển sang chế độ nền (background) hoặc quay lại (foreground) để tạm dừng/tiếp tục các tác vụ như nhạc, timer.","WidgetsBindingObserver, didChangeAppLifecycleState","void didChangeAppLifecycleState(AppLifecycleState state) { if (state == AppLifecycleState.paused) { // Pause music } }","Tiếp tục chạy các tiến trình tốn tài nguyên (như GPS) khi ứng dụng đã ở chế độ nền mà không có lý do chính đáng."
Responsive Text Sizing,UI/UX,"text, responsive, font size, layout, màn hình","Tự động điều chỉnh kích thước font chữ dựa trên kích thước màn hình để đảm bảo văn bản luôn dễ đọc và không bị tràn (overflow).","fitted_box, auto_size_text package","AutoSizeText('The text will shrink to fit', maxLines: 2);","Sử dụng kích thước font cố định khiến chữ bị mất hoặc bị cắt trên các điện thoại có màn hình nhỏ."
Data Mocking for Tests,Testing,"mock, test, mockito, mocktail, giả lập","Tạo các đối tượng giả lập (Mocks) cho các dependency như API Client để kiểm thử các lớp khác một cách độc lập mà không cần kết nối mạng thật.","Mockito, Mocktail, verify","when(mockApi.getUser()).thenAnswer(() async => User(id: 1));","Viết test dựa trên dữ liệu thật từ API server, dẫn đến test bị không ổn định (flaky) do phụ thuộc vào mạng."
Platform-Specific Widgets,UI/UX,"platform, ios, android, cupertino, material","Sử dụng các widget đặc trưng của từng hệ điều hành (Cupertino cho iOS, Material cho Android) để ứng dụng trông tự nhiên như ứng dụng gốc.","Switch.adaptive, Icons.adaptive","Switch.adaptive(value: isTrue, onChanged: (v) => setState(() => isTrue = v));","Sử dụng hoàn toàn giao diện Material trên iOS khiến người dùng cảm thấy ứng dụng lạc lõng (out of place)."
Encapsulating Navigation (Navigator 2.0),Architecture,"navigation, router, go_router, deep link, quản lý điều hướng","Sử dụng hệ thống Router mới (Navigator 2.0) để quản lý điều hướng dưới dạng trạng thái (state-driven), hỗ trợ tốt hơn cho web và deep linking.","GoRouter, RouterConfig","final _router = GoRouter(routes: [...]); MaterialApp.router(routerConfig: _router);","Lạm dụng Navigator.push trực tiếp trong code UI khiến việc theo dõi luồng điều hướng trở nên khó khăn trong các app lớn."
Centralized String Management (i18n),Architecture,"localization, i18n, l10n, đa ngôn ngữ, translate","Tập trung toàn bộ chuỗi ký tự hiển thị vào các tệp ngôn ngữ (JSON/ARB) để dễ dàng hỗ trợ đa ngôn ngữ và bảo trì nội dung.","intl, flutter_localizations, AppLocalizations","Text(AppLocalizations.of(context)!.helloWorld);","Hardcoded (viết trực tiếp) các đoạn text tiếng Việt vào code, gây khó khăn khi muốn chuyển sang tiếng Anh hoặc sửa nội dung."
Using Global Keys Sparingly,Logic,"globalkey, performance, state, widget, truy cập state","Chỉ sử dụng GlobalKey khi thực sự cần truy cập vào trạng thái của một widget từ bên ngoài hoặc giữ trạng thái qua các lần di chuyển cây widget.","GlobalKey, FormState","final _key = GlobalKey(); _key.currentState?.doSomething();","Sử dụng GlobalKey cho mọi widget chỉ để truyền dữ liệu, gây giảm hiệu năng render và làm code rối rắm."
Handling Future Timeouts,Logic,"timeout, async, future, mạng, xử lý lỗi","Đặt giới hạn thời gian cho các tác vụ bất đồng bộ (như gọi API) để đảm bảo ứng dụng không bị treo vô hạn khi mạng gặp vấn đề.","Future.timeout, TimeoutException","try { await apiCall().timeout(Duration(seconds: 10)); } on TimeoutException { // Handle timeout }","Chờ đợi phản hồi từ server mãi mãi mà không có cơ chế báo lỗi hoặc thử lại (retry)."
Custom Extension for BuildContext,UI/UX,"buildcontext, extension, clean code, shorthand, utility","Tạo các hàm mở rộng cho BuildContext để truy cập nhanh các thuộc tính thường dùng như Theme, MediaQuery hay Navigator.","extension BuildContextX on BuildContext","extension ContextExt on BuildContext { TextTheme get textTheme => Theme.of(this).textTheme; } // Usage: context.textTheme.bodyLarge;","Truy cập Theme.of(context) thủ công lặp lại ở mọi nơi làm code dài dòng."
Using Const Constructors,Performance,"const, optimization, rebuild, flutter, tối ưu","Sử dụng từ khóa const cho các widget không bao giờ thay đổi để Flutter có thể tái sử dụng chúng mà không cần build lại, giúp tăng FPS.","const keyword","const MyStaticWidget(title: 'Static');","Bỏ qua cảnh báo linter về việc thiếu const, dẫn đến việc rebuild các widget tĩnh một cách vô ích."
